Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006785714285727062,1014509568,0.006011904761891983,740679680,0.005273809523790923,1566429184,0.006238095238089294,753426432,0.00938095238094764,746442752,0.0062738095238268265,753872896,0.006404761904765012,651735040
2,0.006535714285712401,1014509568,0.006000000000012949,740679680,0.006261904761907187,1566429184,0.006154761904772548,753467392,0.011035714285737543,746455040,0.0066904761904663145,753909760,0.006619047619042952,651776000
3,0.00744047619047619,1014509568,0.006095238095230387,740679680,0.005249999999990082,1566429184,0.006666666666663041,753512448,0.009547619047582483,746463232,0.0067499999999941305,753958912,0.0061666666666616,651812864
4,0.006511904761920224,1014517760,0.006797619047613677,740679680,0.005357142857145022,1566429184,0.006226190476186167,753549312,0.011392857142894692,746459136,0.006630952380952035,753999872,0.006357142857139782,651833344
5,0.007892857142862144,1014517760,0.0060595238095472615,740679680,0.006630952380930379,1566429184,0.006607142857147947,753541120,0.0098333333333206,746446848,0.006619047619051345,753963008,0.0067380952381083286,651800576
6,0.006726190476159187,1014517760,0.007261904761890579,740679680,0.00591666666667888,1566429184,0.006916666666669173,753549312,0.010654761904751942,746418176,0.0068571428571531316,753975296,0.006654761904761265,651833344
7,0.006761904761905109,1014517760,0.005809523809530436,740667392,0.005833333333336147,1566429184,0.006559523809523799,753549312,0.00941666666669248,746467328,0.006535714285694267,754016256,0.006642857142861251,651915264
8,0.007559523809522077,1014517760,0.005833333333337774,740667392,0.005440476190460685,1566429184,0.006511904761901544,753631232,0.009488095238080653,746512384,0.006607142857147404,754130944,0.0064285714285584085,651988992
9,0.006345238095240175,1014517760,0.006583333333338986,740679680,0.005952380952392863,1566429184,0.006357142857138462,753696768,0.009821428571446435,746553344,0.006761904761908357,754208768,0.006619047619055742,652042240
10,0.007797619047631716,1014517760,0.0057857142856873696,740679680,0.005440476190491001,1566429184,0.006190476190477057,753778688,0.010547619047584281,746299392,0.006845238095250343,754266112,0.006749999999997719,652079104
